routeKey,routeLabel,family,direction,signalType,horizon,currentScore,currentBucket,light,calibrationScore,sampleConfidencePct,occurrences,baselineOccurrences,successRatePct,baselineSuccessRatePct,successLiftPct,directionalWinRatePct,baselineDirectionalWinRatePct,directionalLiftPct,avgRouteReturnPct,baselineAvgRouteReturnPct,routeReturnLiftPct,avgFutureReturnPct,avgAbsReturnPct,reason
waitDefense,防守等待,wait,neutral,风险过滤信号,1,65.18,中适配,黄灯,55.59,100,817,2920,48.35,48.42,-0.08,,,,0.77,0.99,-0.22,0.2,1.74,更适合做仓位/入场过滤，不是方向信号
waitDefense,防守等待,wait,neutral,风险过滤信号,3,65.18,中适配,黄灯,55.42,100,817,2918,52.14,52.23,-0.09,,,,1.47,1.74,-0.27,0.48,3.42,更适合做仓位/入场过滤，不是方向信号
waitDefense,防守等待,wait,neutral,风险过滤信号,5,65.18,中适配,黄灯,54.29,100,817,2916,54.96,55.97,-1.01,,,,1.94,2.22,-0.28,0.82,4.7,更适合做仓位/入场过滤，不是方向信号
waitDefense,防守等待,wait,neutral,风险过滤信号,10,65.18,中适配,黄灯,51.26,100,815,2911,59.75,62.66,-2.9,,,,2.56,3.09,-0.53,1.83,6.95,更适合做仓位/入场过滤，不是方向信号
breakoutDown,向下突破,breakout,short,波动方向信号,1,63,中适配,黄灯,57.95,100,428,2920,14.02,11.85,2.17,46.73,47.74,-1.01,2.42,2.29,0.13,0.08,2.06,当前分桶略好于历史基线
breakoutDown,向下突破,breakout,short,波动方向信号,10,63,中适配,黄灯,57.08,100,423,2911,56.5,57.23,-0.73,47.52,46.34,1.18,7.53,7.19,0.35,0.33,6.95,当前分桶没有明显优于历史基线
breakoutDown,向下突破,breakout,short,波动方向信号,5,63,中适配,黄灯,55.88,100,426,2916,43.43,42.83,0.59,46.48,47.7,-1.22,5.29,5.16,0.13,0.3,4.71,当前分桶略好于历史基线
breakoutDown,向下突破,breakout,short,波动方向信号,3,63,中适配,黄灯,54.31,100,426,2918,32.16,31.53,0.63,45.07,47.91,-2.84,4.09,4,0.08,0.14,3.46,当前分桶略好于历史基线
trendShort,趋势做空,trend,short,方向信号,1,60.87,中适配,红灯,46,100,266,2920,48.87,47.74,1.13,48.87,47.74,1.13,-0.14,-0.13,-0.01,0.14,1.82,方向胜率不足，不宜当进攻信号
trendShort,趋势做空,trend,short,方向信号,3,60.87,中适配,红灯,46,100,265,2918,45.28,47.91,-2.63,45.28,47.91,-2.63,-0.33,-0.39,0.05,0.33,3.66,方向胜率不足，不宜当进攻信号
trendShort,趋势做空,trend,short,方向信号,5,60.87,中适配,红灯,46,100,264,2916,46.97,47.7,-0.73,46.97,47.7,-0.73,-0.35,-0.65,0.3,0.35,4.88,方向胜率不足，不宜当进攻信号
trendShort,趋势做空,trend,short,方向信号,10,60.87,中适配,红灯,46,100,263,2911,47.15,46.34,0.81,47.15,46.34,0.81,-1.09,-1.33,0.24,1.09,6.58,方向胜率不足，不宜当进攻信号
meanReversionLong,低吸均值回归,meanReversion,long,位置回归信号,1,59.64,中适配,黄灯,62,100,241,2920,57.26,22.4,34.86,56.85,52.26,4.59,0.26,0.13,0.13,0.26,2,能证明位置回归，但不能证明直接开方向仓
meanReversionLong,低吸均值回归,meanReversion,long,位置回归信号,3,59.64,中适配,黄灯,62,100,239,2918,59.83,21.69,38.14,56.07,52.09,3.98,0.1,0.39,-0.29,0.1,3.81,能证明位置回归，但不能证明直接开方向仓
meanReversionLong,低吸均值回归,meanReversion,long,位置回归信号,5,59.64,中适配,黄灯,62,100,239,2916,61.09,21.88,39.21,53.97,52.3,1.68,-0.02,0.65,-0.67,-0.02,5.29,能证明位置回归，但不能证明直接开方向仓
meanReversionLong,低吸均值回归,meanReversion,long,位置回归信号,10,59.64,中适配,黄灯,62,100,238,2911,66.81,22.23,44.58,52.94,53.66,-0.72,0.08,1.33,-1.25,0.08,7.35,能证明位置回归，但不能证明直接开方向仓
trendLong,趋势追多,trend,long,方向信号,3,26.87,不适配,红灯,44.62,100,710,2918,51.13,52.09,-0.96,51.13,52.09,-0.96,-0.04,0.39,-0.42,-0.04,3.22,当前分桶没有明显优于历史基线
trendLong,趋势追多,trend,long,方向信号,1,26.87,不适配,红灯,43.98,100,711,2920,50.63,52.26,-1.63,50.63,52.26,-1.63,-0.04,0.13,-0.17,-0.04,1.68,当前分桶没有明显优于历史基线
trendLong,趋势追多,trend,long,方向信号,5,26.87,不适配,红灯,42.85,100,708,2916,50.85,52.3,-1.45,50.85,52.3,-1.45,-0.02,0.65,-0.67,-0.02,4.36,当前分桶没有明显优于历史基线
trendLong,趋势追多,trend,long,方向信号,10,26.87,不适配,红灯,40.07,100,703,2911,51.78,53.66,-1.88,51.78,53.66,-1.88,0.03,1.33,-1.3,0.03,6.83,当前分桶没有明显优于历史基线
meanReversionShort,高抛均值回归,meanReversion,short,位置回归信号,1,21.64,不适配,红灯,23.89,100,1598,2920,5.44,24.79,-19.35,48.37,47.74,0.63,-0.01,-0.13,0.12,0.01,2.15,当前分桶没有明显优于历史基线
meanReversionShort,高抛均值回归,meanReversion,short,位置回归信号,3,21.64,不适配,红灯,21.62,100,1596,2918,3.95,25.6,-21.65,49,47.91,1.09,-0.11,-0.39,0.28,0.11,3.87,当前分桶没有明显优于历史基线
meanReversionShort,高抛均值回归,meanReversion,short,位置回归信号,5,21.64,不适配,红灯,21.08,100,1594,2916,4.08,26.65,-22.57,48.93,47.7,1.23,-0.18,-0.65,0.47,0.18,4.96,当前分桶没有明显优于历史基线
meanReversionShort,高抛均值回归,meanReversion,short,位置回归信号,10,21.64,不适配,红灯,20.44,100,1589,2911,3.21,26.97,-23.76,48.71,46.34,2.37,-0.6,-1.33,0.73,0.6,7.36,当前分桶没有明显优于历史基线
gridNeutral,震荡网格,grid,neutral,震荡状态信号,10,18,不适配,红灯,47.06,100,1738,2911,82.51,80.76,1.75,,,,-7.84,-7.51,-0.33,1.96,7.84,当前分桶略好于历史基线
gridNeutral,震荡网格,grid,neutral,震荡状态信号,5,18,不适配,红灯,43.93,100,1741,2916,81.79,82.41,-0.62,,,,-5.52,-5.09,-0.43,1,5.52,当前分桶没有明显优于历史基线
gridNeutral,震荡网格,grid,neutral,震荡状态信号,3,18,不适配,红灯,43.47,100,1742,2918,83.41,84.41,-1,,,,-4.31,-3.87,-0.43,0.66,4.31,当前分桶没有明显优于历史基线
gridNeutral,震荡网格,grid,neutral,震荡状态信号,1,18,不适配,红灯,42.64,100,1744,2920,83.66,85.72,-2.06,,,,-2.4,-2.11,-0.28,0.24,2.4,当前分桶没有明显优于历史基线
breakoutUp,向上突破,breakout,long,波动方向信号,1,7,不适配,红灯,39.72,100,1219,2920,9.35,12.16,-2.81,52.09,52.26,-0.17,2.16,2.26,-0.1,0.07,2.07,当前分桶没有明显优于历史基线
breakoutUp,向上突破,breakout,long,波动方向信号,10,7,不适配,红灯,37.69,100,1210,2911,58.1,60.84,-2.74,52.23,53.66,-1.43,7.85,8.28,-0.43,0.74,7.15,当前分桶没有明显优于历史基线
breakoutUp,向上突破,breakout,long,波动方向信号,5,7,不适配,红灯,37.63,100,1215,2916,41.4,45.47,-4.07,52.18,52.3,-0.12,5.23,5.53,-0.31,0.4,4.72,当前分桶没有明显优于历史基线
breakoutUp,向上突破,breakout,long,波动方向信号,3,7,不适配,红灯,36.76,100,1217,2918,28.27,33.04,-4.77,51.52,52.09,-0.57,3.98,4.16,-0.18,0.23,3.73,当前分桶没有明显优于历史基线
