state,horizon,occurrences,avgConfidencePct,avgAtrPercentile,avgVolatilityMultiplePercentile,avgRemainingMomentumAtr,medianRemainingMomentumAtr,atrUpProbabilityPct,atrDownProbabilityPct,avgAtrChangePct,medianAtrChangePct,futureRemainingMomentumPositivePct,avgFutureVolatilityMultiple,lastSeen
波动启动,1,899,42.72,20.93,79.59,0.4584,0.2883,50.72,49.28,1.3065,0.0722,48.39,1.1391,2026-05-27
波动启动,3,898,42.7,20.95,79.59,0.4584,0.2856,48.44,51.56,2.5324,-0.2537,42.54,1.0452,2026-05-26
波动启动,5,896,42.74,20.98,79.63,0.4595,0.2885,50.78,49.22,4.5278,0.2887,41.96,1.0529,2026-05-24
波动启动,10,893,42.75,21.03,79.67,0.4606,0.2887,55.43,44.57,9.0641,2.4211,41.66,1.0359,2026-05-17
波动压缩,1,878,46.5,16.52,20.93,-0.4233,-0.4246,34.28,65.72,-0.515,-1.5103,33.6,0.9133,2026-05-28
波动压缩,3,877,46.54,16.52,20.9,-0.4236,-0.4247,38.08,61.92,0.339,-2.3137,40.02,1.016,2026-05-21
波动压缩,5,877,46.54,16.52,20.9,-0.4236,-0.4247,40.14,59.86,0.9748,-2.5998,41.62,1.0229,2026-05-21
波动压缩,10,875,46.56,16.55,20.86,-0.4241,-0.4251,44,56,3.6728,-3.5515,42.17,1.0456,2026-05-19
常态波动,1,662,78.45,47.07,49.23,-0.1373,-0.1411,40.94,59.06,-0.3649,-0.9286,35.2,0.9379,2026-04-22
常态波动,3,662,78.45,47.07,49.23,-0.1373,-0.1411,33.99,66.01,-0.4564,-2.9799,36.4,0.9558,2026-04-22
常态波动,5,662,78.45,47.07,49.23,-0.1373,-0.1411,33.23,66.77,-0.871,-4.0737,37.46,0.9543,2026-04-22
常态波动,10,662,78.45,47.07,49.23,-0.1373,-0.1411,34.14,65.86,-1.2581,-6.7712,35.95,0.9402,2026-04-22
高波动扩张,1,261,34.52,74.48,79.68,0.4679,0.3121,47.89,52.11,0.839,-0.2941,46.36,1.0645,2026-03-08
高波动扩张,3,261,34.52,74.48,79.68,0.4679,0.3121,36.78,63.22,0.8368,-3.2242,40.23,0.9794,2026-03-08
高波动扩张,5,261,34.52,74.48,79.68,0.4679,0.3121,32.95,67.05,0.093,-4.9041,32.95,0.9256,2026-03-08
高波动扩张,10,261,34.52,74.48,79.68,0.4679,0.3121,29.12,70.88,-3.4632,-10.8211,29.12,0.8776,2026-03-08
高波动冷却,1,220,31.45,73.55,21.53,-0.4098,-0.4187,29.09,70.91,-1.5324,-1.6535,23.18,0.8037,2026-03-07
高波动冷却,3,220,31.45,73.55,21.53,-0.4098,-0.4187,19.55,80.45,-4.4749,-5.4219,25.45,0.8293,2026-03-07
高波动冷却,5,220,31.45,73.55,21.53,-0.4098,-0.4187,14.09,85.91,-7.1339,-8.0279,27.27,0.8427,2026-03-07
高波动冷却,10,220,31.45,73.55,21.53,-0.4098,-0.4187,13.64,86.36,-12.6967,-15.2558,35.91,0.929,2026-03-07
