bar,horizon,environment,environmentDirection,hitMeaning,symbolCount,observations,weightedObservations,weightedHitRatePct,weightedBaselineRatePct,weightedLiftPct,liftWilsonLow,lowSampleGroupsExcluded,mainHorizon,passCandidate
1D,1,CHAOS,all,高扰动命中,52,4722,3304.44,21.66,25.18,-3.52,-4.67,6,False,False
1D,1,RANGE,all,低波动维持,39,3328,2329.6,60.22,50.13,10.09,8.41,18,False,True
1D,1,TREND,all,方向命中,57,54892,38350.12,49.03,50.29,-1.26,-1.68,2,False,False
1D,3,CHAOS,all,高扰动命中,51,4686,3279.24,19.87,25.24,-5.37,-6.49,7,False,False
1D,3,RANGE,all,低波动维持,39,3323,2326.1,57.63,50.12,7.51,5.82,18,False,True
1D,3,TREND,all,方向命中,57,54766,38262.65,49.93,50.75,-0.82,-1.24,2,False,False
1D,5,CHAOS,all,高扰动命中,51,4671,3268.74,18.92,25.23,-6.31,-7.4,7,True,False
1D,5,RANGE,all,低波动维持,39,3319,2323.3,55.89,50.09,5.8,4.1,18,True,True
1D,5,TREND,all,方向命中,57,54627,38166.15,49.95,51.06,-1.12,-1.54,2,True,False
1D,10,CHAOS,all,高扰动命中,50,4605,3222.54,20.28,25.15,-4.87,-6.0,7,True,False
1D,10,RANGE,all,低波动维持,39,3303,2312.1,55.1,50.09,5.01,3.31,18,True,True
1D,10,TREND,all,方向命中,57,54294,37935.26,50.22,51.46,-1.23,-1.66,1,True,False
1W,1,TREND,all,方向命中,23,2114,495.2,50.04,52.92,-2.88,-3.91,17,False,False
1W,3,TREND,all,方向命中,21,2008,487.65,48.94,55.23,-6.29,-7.46,17,False,False
1W,5,TREND,all,方向命中,19,1910,480.38,49.83,55.25,-5.43,-7.39,18,True,False
1W,10,TREND,all,方向命中,16,1620,435.91,48.76,56.42,-7.66,-9.83,23,True,False
4H,1,CHAOS,all,高扰动命中,58,45590,31913.0,19.22,25.12,-5.9,-6.26,0,False,False
4H,1,RANGE,all,低波动维持,58,71293,49905.1,66.91,50.42,16.49,16.15,0,False,True
4H,1,TREND,all,方向命中,58,265652,185956.4,47.3,48.55,-1.25,-1.44,0,False,False
4H,3,CHAOS,all,高扰动命中,58,45563,31894.1,17.65,25.11,-7.46,-7.81,0,False,False
4H,3,RANGE,all,低波动维持,58,71281,49896.7,64.91,50.41,14.5,14.15,0,False,True
4H,3,TREND,all,方向命中,58,265548,185883.6,47.18,48.98,-1.8,-1.99,0,False,False
4H,5,CHAOS,all,高扰动命中,58,45523,31866.1,17.4,25.11,-7.72,-8.06,0,True,False
4H,5,RANGE,all,低波动维持,58,71270,49889.0,63.73,50.4,13.33,12.97,0,True,True
4H,5,TREND,all,方向命中,58,265449,185814.3,47.15,49.15,-2.0,-2.19,0,True,False
4H,10,CHAOS,all,高扰动命中,58,45443,31810.1,16.75,25.12,-8.37,-8.71,0,True,False
4H,10,RANGE,all,低波动维持,58,71225,49857.5,61.14,50.38,10.76,10.4,0,True,True
4H,10,TREND,all,方向命中,58,265221,185654.7,47.6,49.25,-1.65,-1.84,0,True,False
8H,1,CHAOS,all,高扰动命中,58,18945,13261.5,20.13,25.18,-5.05,-5.61,0,False,False
8H,1,RANGE,all,低波动维持,57,25079,17555.3,66.75,50.87,15.87,15.29,1,False,True
8H,1,TREND,all,方向命中,58,156076,109253.2,48.05,48.9,-0.85,-1.1,0,False,False
8H,3,CHAOS,all,高扰动命中,58,18922,13245.4,18.86,25.17,-6.31,-6.86,0,False,False
8H,3,RANGE,all,低波动维持,57,25071,17549.7,64.33,50.86,13.47,12.88,1,False,True
8H,3,TREND,all,方向命中,58,155934,109153.8,47.37,49.35,-1.98,-2.23,0,False,False
8H,5,CHAOS,all,高扰动命中,58,18905,13233.5,17.79,25.18,-7.39,-7.93,0,True,False
8H,5,RANGE,all,低波动维持,57,25061,17542.7,62.85,50.86,11.99,11.39,1,True,True
8H,5,TREND,all,方向命中,58,155817,109071.9,47.88,49.47,-1.59,-1.84,0,True,False
8H,10,CHAOS,all,高扰动命中,58,18875,13212.5,17.62,25.16,-7.55,-8.09,0,True,False
8H,10,RANGE,all,低波动维持,57,24993,17495.1,61.59,50.85,10.74,10.13,1,True,True
8H,10,TREND,all,方向命中,58,155558,108890.6,48.32,49.68,-1.35,-1.6,0,True,False
